id,type,text1,text2,text3,text4,notes
sploinkBeam,WEAPON,"An exotic weapon that successfully makes use of Silly Particles. The core influences the stress-energy tensor to manipulate gravitons and force them to follow a tracer laser beam. Anything caught inside experiences denormalization and loses momentum, making this an excellent disruptive weapon that deflects missiles and stops small ships on their tracks.",,,,
sillyMedTPC,WEAPON,"A post-collapse production that mixes old Domain TPC technology and Silly Particles. Just like its bigger counterpart, the Silly Medium TPC is integrated inside the hull but the addition of new technology allows the  smaller cruiser reactor to power both guns without too much strain on the flux grid.",,,,
,,,,,,
#SHIP SYSTEMS,,,,,,
silly_mote_control,SHIP_SYSTEM,Energy motes deal heavy EMP damage to ships and obliterate fighters and missiles. Using the system creates a temporary attractor point for the motes. The motes automatically target nearby missiles and fighters unless an attractor point is set on an enemy ship.,,,,
,,,,,,
#ITEMS,,,,,,
silly_particles,RESOURCE,"Exotic particles used in experimental applications. Some superstitious workers don't like working nor handling them and claim the containers are a ""bad luck charm"".",,,,
silly_refined_particles,RESOURCE,"Refined Silly Particles condensed and contained inside an adecuate receptacle. These are used in highly experimental contraptions, shipwrighting, military materiel and some extravagant medical procedures.",,,,
,,,,,,
#PLANETS,,,,,,
lemat_description,CUSTOM,Lemat is the home and main operative base of Doohickey Corporation. An overgrown jungle and exotic gases are the main enemy of colonization efforts.,Lemat,"Lemat, choking with vegetation, stands before you.",,
,,,,,,
#FACTIONS,,,,,,
doohickeyCorp,FACTION,"Doohickey Corporation, often just Doohickey Corp., was once the project of an independent entrepreneur group to research new technology after the collapse and produce new, functional hulls and weapons with the now less opresive Domain regulations. After the first AI War, however, tight regulations were imposed by the Hegemony and this new persean corporation could not manage to lift off, much less rival the ever-present Tri-Tachyon. Knowing that Doohickey Corp. could not afford to take part in the already saturated field of AI development and high-power generators, the board has taken interest in producing more ""affordable"" and ""interesting"" spacecraft and military-grade weaponry that is often sold to independent and Hegemony contractors alike.",,,,
